Date, Open, High, Low,Close
02/18/14,6736,6802.89,6716.64,6796.43
02/17/14,6663.62,6745.63,6661.47,6736
02/14/14,6659.42,6672.21,6646.47,6663.62
02/13/14,6675.03,6675.24,6608.09,6659.42
02/12/2014,6672.66,6708.17,6669.06,6675.03
02/11/2014,6591.55,6672.66,6591.55,6672.66
02/10/2014,6571.68,6597,6565.3,6591.55
02/07/2014,6558.28,6596.28,6540.81,6571.68
02/06/2014,6457.89,6566.01,6457.89,6558.28
02/05/2014,6449.27,6483.73,6423.79,6457.89
02/04/2014,6465.66,6478.16,6416.72,6449.27
02/03/2014,6510.44,6538.3,6459.95,6465.66
01/31/14,6538.45,6548.46,6421.26,6510.44
01/30/14,6544.28,6573.92,6503.25,6538.45
01/29/14,6572.33,6645.23,6482.74,6544.28
01/28/14,6550.66,6590.66,6550.65,6572.33
01/27/14,6663.74,6665.39,6539.33,6550.66
01/24/14,6773.28,6784.42,6654.86,6663.74
01/23/14,6826.33,6837.21,6760.63,6773.28
01/22/14,6834.26,6864.87,6821.8,6826.33
01/21/14,6836.73,6867.42,6822.31,6834.26
01/20/14,6829.3,6837.53,6810.62,6836.73
01/17/14,6815.42,6840.5,6800,6829.3
01/16/14,6819.86,6831.74,6811.16,6815.42
01/15/14,6766.86,6825.2,6766.86,6819.86
01/14/14,6757.15,6772.63,6694.08,6766.86
01/13/14,6739.94,6765.6,6730.97,6757.15
01/10/2014,6691.34,6769.94,6691.34,6739.94
01/09/2014,6721.78,6746.41,6679.31,6691.34
01/08/2014,6755.45,6755.53,6713.39,6721.78
01/07/2014,6730.73,6768.89,6718.07,6755.45
01/06/2014,6730.67,6751.98,6714.64,6730.73
01/03/2014,6717.91,6747.33,6699.27,6730.67
01/02/2014,6749.09,6759.37,6707.48,6717.91
01/01/2014,6749.09,6756.98,6731.25,6749.09
12/31/13,6731.27,6756.98,6731.25,6749.09
12/30/13,6750.87,6768.44,6718.16,6731.27
12/27/13,6694.17,6754.11,6694.17,6750.87
12/26/13,6694.17,6712.1,6672.22,6694.17
12/25/13,6694.17,6712.1,6672.22,6694.17
12/24/13,6678.61,6712.1,6672.22,6694.17
12/23/13,6606.58,6678.61,6606.2,6678.61
12/20/13,6584.7,6616.8,6576.79,6606.58
12/19/13,6492.08,6584.7,6492.08,6584.7
12/18/13,6486.19,6524.46,6486.19,6492.08
